Partitions: [[5  1  1]  [4  1  2]  [4  2  1]  [3  1  3]  [3  3  1]  [3  2  2]]


Cycle Partition: [5  1  1]
,mu,isomorphisms
,(4 5 6), 144

,mu,isomorphisms
,(3 4)(5 6), 96

Cycle Partition: [4  1  2]
,mu,isomorphisms
,(3 4 5 6), 48

,mu,isomorphisms
,(2 3)(4 5 6), 24

,mu,isomorphisms
,(1 2)(3 4)(5 6), 96

Cycle Partition: [4  2  1]
,mu,isomorphisms
,(3 4 5 6), 48

,mu,isomorphisms
,(2 3)(4 5 6), 24

,mu,isomorphisms
,(1 2)(3 4)(5 6), 96

Cycle Partition: [3  1  3]
,mu,isomorphisms
,(2 3 4 5 6), 20

,mu,isomorphisms
,(1 2)(3 4 5 6), 16

,mu,isomorphisms
,(1 2 3)(4 5 6), 36

,mu,isomorphisms
,(0 1)(2 3)(4 5 6), 48

Cycle Partition: [3  3  1]
,mu,isomorphisms
,(2 3 4 5 6), 20

,mu,isomorphisms
,(1 2)(3 4 5 6), 16

,mu,isomorphisms
,(1 2 3)(4 5 6), 36

,mu,isomorphisms
,(0 1)(2 3)(4 5 6), 48

Cycle Partition: [3  2  2]
,mu,isomorphisms
,(2 3 4 5 6), 20

,mu,isomorphisms
,(1 2)(3 4 5 6), 16

,mu,isomorphisms
,(1 2 3)(4 5 6), 36

,mu,isomorphisms
,(0 1)(2 3)(4 5 6), 48

